"","Molecule_name","RefSeq_sequence"
"1","1","NC_000001.9"
"2","2","NC_000002.10"
"3","3","NC_000003.10"
"4","4","NC_000004.10"
"5","5","NC_000005.8"
"6","6","NC_000006.10"
"7","7","NC_000007.12"
"8","8","NC_000008.9"
"9","9","NC_000009.10"
"10","10","NC_000010.9"
"11","11","NC_000011.8"
"12","12","NC_000012.10"
"13","13","NC_000013.9"
"14","14","NC_000014.7"
"15","15","NC_000015.8"
"16","16","NC_000016.8"
"17","17","NC_000017.9"
"18","18","NC_000018.8"
"19","19","NC_000019.8"
"20","20","NC_000020.9"
"21","21","NC_000021.7"
"22","22","NC_000022.9"
"23","X","NC_000023.9"
"24","Y","NC_000024.8"
